age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,40,United-States,>50K
25-34,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,50,United-States,<=50K
35-44,Private,Assoc-acdm,12,Never-married,Transport-moving,Not-in-family,Black,Male,None,None,60,United-States,<=50K
35-44,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,60,United-States,<=50K
45-54,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Black,Male,None,None,40,Outlying-US(Guam-USVI-etc),<=50K
19-24,Self-emp-inc,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,None,None,30,United-States,<=50K
45-54,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,None,None,10,?,<=50K
19-24,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,None,None,40,United-States,<=50K
25-34,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,None,None,30,India,<=50K
19-24,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,None,None,40,United-States,<=50K
35-44,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Other-relative,White,Female,None,None,50,United-States,<=50K
35-44,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,None,None,40,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,26,United-States,<=50K
45-54,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,None,None,45,United-States,<=50K
55-64,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,45,United-States,>50K
19-24,?,Assoc-acdm,12,Never-married,?,Not-in-family,White,Male,None,None,55,United-States,<=50K
35-44,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,None,None,60,United-States,<=50K
55-64,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,None,None,40,United-States,<=50K
25-34,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,40,United-States,<=50K
55-64,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,None,None,35,India,<=50K
55-64,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,None,None,40,United-States,<=50K
45-54,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,None,None,35,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,None,None,30,United-States,<=50K
25-34,Self-emp-not-inc,12th,8,Divorced,Other-service,Unmarried,White,Female,None,None,30,United-States,<=50K
35-44,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,40,United-States,<=50K
55-64,Local-gov,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,None,None,35,United-States,<=50K
19-24,?,Some-college,10,Never-married,?,Own-child,White,Male,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,None,None,40,Philippines,<=50K
19-24,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,None,None,40,United-States,<=50K
45-54,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,None,None,70,United-States,<=50K
25-34,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,None,None,40,Germany,<=50K
25-34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,40,United-States,>50K
19-24,Private,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,None,None,24,Philippines,<=50K
55-64,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,50,United-States,>50K
25-34,Private,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Female,None,None,40,United-States,<=50K
25-34,Private,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,60,United-States,>50K
19-24,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,None,None,30,United-States,<=50K
45-54,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,Black,Female,None,None,40,United-States,>50K
35-44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,45,United-States,>50K
35-44,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,51,United-States,<=50K
35-44,?,Assoc-acdm,12,Divorced,?,Not-in-family,White,Male,None,None,40,United-States,<=50K
25-34,State-gov,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,40,United-States,<=50K
45-54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,None,None,40,United-States,<=50K
19-24,?,12th,8,Never-married,?,Own-child,Black,Male,None,None,40,United-States,<=50K
0-18,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,None,None,16,United-States,<=50K
25-34,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,None,None,40,United-States,<=50K
25-34,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,None,None,40,United-States,<=50K
65+,State-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,40,United-States,<=50K
19-24,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,None,None,40,United-States,<=50K
25-34,Local-gov,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,None,None,40,Mexico,<=50K
25-34,Private,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,None,None,45,United-States,<=50K
25-34,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,40,United-States,<=50K
55-64,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,None,None,40,United-States,>50K
25-34,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,50,United-States,<=50K
35-44,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,None,None,50,United-States,<=50K
55-64,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,None,None,27,United-States,<=50K
19-24,Private,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,None,None,40,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,None,None,40,United-States,<=50K
35-44,Self-emp-inc,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,None,None,50,United-States,<=50K
35-44,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,None,None,21,Trinadad&Tobago,<=50K
45-54,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,40,United-States,<=50K
45-54,Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,None,None,40,?,<=50K
35-44,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,None,None,38,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,None,None,40,United-States,<=50K
35-44,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,40,United-States,<=50K
35-44,Private,Some-college,10,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,None,None,38,United-States,<=50K
45-54,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,None,None,40,United-States,>50K
25-34,Private,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Male,None,None,40,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,35,United-States,<=50K
65+,Private,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,None,None,38,United-States,<=50K
25-34,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,None,None,40,United-States,<=50K
19-24,Private,9th,5,Never-married,Machine-op-inspct,Not-in-family,White,Female,None,None,40,United-States,<=50K
25-34,Private,11th,7,Separated,Craft-repair,Own-child,White,Male,None,None,40,United-States,<=50K
35-44,?,Assoc-voc,11,Married-civ-spouse,?,Wife,White,Female,None,None,40,United-States,>50K
19-24,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Male,None,None,60,United-States,<=50K
35-44,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,None,None,40,United-States,>50K
35-44,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,None,None,30,United-States,<=50K
55-64,Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,60,United-States,>50K
19-24,State-gov,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,None,None,10,China,<=50K
45-54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,40,United-States,>50K
35-44,Private,11th,7,Separated,Other-service,Unmarried,Black,Female,None,None,60,United-States,<=50K
35-44,Private,HS-grad,9,Separated,Transport-moving,Unmarried,Black,Female,None,None,40,United-States,<=50K
25-34,Private,Assoc-voc,11,Separated,Adm-clerical,Unmarried,White,Female,None,None,35,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,None,None,40,United-States,<=50K
35-44,?,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,None,None,12,United-States,<=50K
19-24,?,Some-college,10,Never-married,?,Unmarried,White,Female,None,None,20,United-States,<=50K
35-44,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,None,None,40,United-States,<=50K
35-44,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,None,None,25,United-States,<=50K
25-34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,None,None,40,Laos,<=50K
35-44,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,None,None,50,United-States,<=50K
35-44,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,60,United-States,>50K
65+,?,9th,5,Married-civ-spouse,?,Husband,Black,Male,None,None,40,United-States,<=50K
35-44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,50,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Transport-moving,Own-child,Black,Male,None,None,40,United-States,<=50K
25-34,Federal-gov,Assoc-voc,11,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,None,None,40,United-States,<=50K
25-34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,40,United-States,>50K
25-34,State-gov,Some-college,10,Divorced,Protective-serv,Other-relative,White,Male,None,None,45,United-States,<=50K
35-44,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,None,None,40,United-States,<=50K
0-18,?,11th,7,Never-married,?,Own-child,White,Male,None,None,25,United-States,<=50K
45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,45,United-States,>50K
0-18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,None,None,16,United-States,<=50K
25-34,Private,HS-grad,9,Never-married,Sales,Unmarried,White,Female,None,None,40,United-States,<=50K
19-24,Self-emp-not-inc,Some-college,10,Separated,Handlers-cleaners,Own-child,White,Male,None,None,45,United-States,<=50K
55-64,?,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,None,None,24,United-States,<=50K
25-34,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,None,None,40,United-States,<=50K
45-54,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,None,24,Canada,>50K
25-34,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,50,United-States,<=50K
19-24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,None,None,20,United-States,<=50K
45-54,Private,7th-8th,4,Married-spouse-absent,Other-service,Unmarried,White,Female,None,None,30,United-States,<=50K
25-34,Private,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Male,None,None,40,France,<=50K
45-54,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,40,United-States,>50K
35-44,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,60,United-States,<=50K
65+,State-gov,10th,6,Divorced,Other-service,Not-in-family,Black,Female,None,None,40,United-States,<=50K
35-44,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,None,None,12,United-States,<=50K
19-24,Private,7th-8th,4,Never-married,Other-service,Other-relative,White,Male,None,None,48,Mexico,<=50K
55-64,Private,9th,5,Widowed,Other-service,Unmarried,Black,Female,None,None,40,United-States,<=50K
35-44,Local-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,None,None,40,Jamaica,<=50K
25-34,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,None,None,15,United-States,<=50K
45-54,Private,Some-college,10,Separated,Sales,Unmarried,Black,Female,None,None,35,United-States,<=50K
25-34,Private,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,None,None,40,United-States,<=50K
35-44,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,45,United-States,<=50K
45-54,Private,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,None,None,38,United-States,<=50K
25-34,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,50,United-States,>50K
19-24,?,9th,5,Never-married,?,Not-in-family,White,Female,None,None,25,United-States,<=50K
45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,45,United-States,>50K
0-18,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,None,None,40,?,<=50K
25-34,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,None,None,50,United-States,<=50K
45-54,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,None,None,52,United-States,>50K
25-34,Local-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,60,United-States,<=50K
35-44,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Wife,White,Female,None,None,44,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,None,None,40,United-States,<=50K
35-44,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,None,None,30,United-States,<=50K
45-54,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,None,None,8,United-States,<=50K
0-18,Private,11th,7,Never-married,Farming-fishing,Own-child,White,Male,None,None,45,United-States,<=50K
45-54,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,45,United-States,<=50K
35-44,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,50,United-States,>50K
45-54,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,None,None,35,?,<=50K
55-64,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,40,United-States,<=50K
55-64,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,10,United-States,<=50K
25-34,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,60,United-States,>50K
0-18,Private,11th,7,Never-married,Sales,Own-child,White,Male,None,None,20,United-States,<=50K
55-64,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,55,United-States,<=50K
35-44,State-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,Black,Female,None,None,40,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,None,None,40,United-States,<=50K
35-44,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,45,United-States,<=50K
25-34,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Federal-gov,Assoc-acdm,12,Never-married,Transport-moving,Not-in-family,Black,Male,None,None,40,United-States,<=50K
19-24,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,40,United-States,<=50K
25-34,?,Some-college,10,Married-civ-spouse,?,Wife,White,Female,None,None,20,United-States,>50K
45-54,Local-gov,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,None,None,40,United-States,<=50K
45-54,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Female,None,None,15,United-States,<=50K
19-24,?,Some-college,10,Never-married,?,Own-child,White,Female,None,None,40,United-States,<=50K
25-34,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Never-married,Tech-support,Own-child,Black,Male,None,None,40,United-States,<=50K
55-64,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,30,Canada,<=50K
55-64,Self-emp-not-inc,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,None,None,12,United-States,>50K
25-34,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Male,None,None,20,United-States,<=50K
25-34,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,7th-8th,4,Never-married,Other-service,Other-relative,White,Male,None,None,35,Guatemala,<=50K
19-24,Private,9th,5,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,None,None,40,Mexico,<=50K
55-64,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,12th,8,Never-married,Craft-repair,Other-relative,Other,Male,None,None,48,Guatemala,<=50K
35-44,Private,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,None,None,40,United-States,<=50K
0-18,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,None,None,15,United-States,<=50K
25-34,Private,9th,5,Divorced,Handlers-cleaners,Not-in-family,White,Male,None,None,70,United-States,<=50K
55-64,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Transport-moving,Wife,White,Female,None,None,15,Germany,>50K
35-44,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,None,None,48,Mexico,<=50K
45-54,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,43,United-States,<=50K
25-34,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,48,United-States,<=50K
19-24,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,None,None,20,United-States,<=50K
35-44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,50,United-States,>50K
25-34,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,None,None,43,United-States,<=50K
19-24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,None,None,20,United-States,<=50K
25-34,Federal-gov,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,None,None,40,United-States,<=50K
19-24,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,None,None,13,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,40,United-States,<=50K
45-54,Private,1st-4th,2,Widowed,Other-service,Unmarried,Other,Female,None,None,30,Mexico,<=50K
35-44,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,None,None,25,United-States,<=50K
65+,Self-emp-not-inc,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,None,None,24,United-States,<=50K
55-64,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,None,None,8,United-States,>50K
19-24,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,None,None,40,Dominican-Republic,<=50K
19-24,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,None,None,40,United-States,<=50K
25-34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,40,United-States,>50K
19-24,State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,None,None,43,United-States,<=50K
65+,?,Some-college,10,Widowed,?,Not-in-family,White,Female,None,None,20,United-States,<=50K
55-64,Local-gov,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,None,None,38,United-States,<=50K
35-44,Private,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,None,None,40,United-States,<=50K
19-24,Private,7th-8th,4,Never-married,Farming-fishing,Unmarried,Other,Male,None,None,36,Mexico,<=50K
25-34,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,None,None,35,Mexico,<=50K
19-24,Private,Assoc-voc,11,Never-married,Other-service,Other-relative,White,Female,None,None,40,Mexico,<=50K
19-24,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,None,None,42,United-States,<=50K
25-34,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,None,None,45,United-States,<=50K
25-34,State-gov,Some-college,10,Never-married,Transport-moving,Not-in-family,Black,Male,None,None,40,United-States,<=50K
25-34,Federal-gov,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,None,None,40,United-States,<=50K
25-34,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,40,United-States,>50K
25-34,Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,28,United-States,<=50K
55-64,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,None,None,40,United-States,<=50K
45-54,?,HS-grad,9,Widowed,?,Unmarried,White,Female,None,None,40,United-States,<=50K
35-44,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,40,United-States,>50K
45-54,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Male,None,None,55,Germany,<=50K
55-64,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,None,None,40,United-States,<=50K
65+,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,None,None,35,United-States,>50K
19-24,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,40,United-States,<=50K
55-64,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,None,None,32,United-States,<=50K
45-54,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,None,None,60,United-States,>50K
45-54,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,None,None,40,United-States,<=50K
65+,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,None,None,6,United-States,<=50K
25-34,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,40,United-States,<=50K
35-44,Federal-gov,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,40,United-States,<=50K
65+,Private,10th,6,Widowed,Sales,Unmarried,Black,Female,None,None,12,United-States,<=50K
45-54,Private,Bachelors,13,Divorced,Sales,Not-in-family,Black,Female,None,None,60,United-States,<=50K
25-34,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,40,United-States,>50K
25-34,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,52,United-States,<=50K
25-34,Federal-gov,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Male,None,None,50,United-States,>50K
25-34,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,60,Ireland,>50K
55-64,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,None,None,40,United-States,<=50K
19-24,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,None,None,10,United-States,<=50K
25-34,State-gov,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,None,None,40,United-States,<=50K
0-18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,None,None,8,United-States,<=50K
25-34,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,None,None,50,United-States,<=50K
35-44,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,None,None,60,United-States,<=50K
25-34,Private,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Female,None,None,40,United-States,<=50K
35-44,Self-emp-not-inc,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,None,None,40,United-States,<=50K
25-34,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,50,United-States,>50K
19-24,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,None,None,20,United-States,<=50K
25-34,?,7th-8th,4,Divorced,?,Own-child,White,Male,None,None,84,United-States,<=50K
19-24,Private,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,None,None,40,United-States,<=50K
35-44,Self-emp-not-inc,Bachelors,13,Separated,Craft-repair,Own-child,White,Male,None,None,35,United-States,<=50K
19-24,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,16,United-States,<=50K
25-34,Private,Some-college,10,Never-married,Craft-repair,Other-relative,Asian-Pac-Islander,Female,None,None,40,Cambodia,<=50K
19-24,Private,HS-grad,9,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,None,None,30,?,<=50K
45-54,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,40,United-States,<=50K
35-44,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,45,United-States,<=50K
35-44,Federal-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,None,None,40,United-States,<=50K
35-44,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,20,United-States,<=50K
35-44,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,None,None,40,United-States,<=50K
25-34,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,40,United-States,<=50K
55-64,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,None,None,20,United-States,>50K
45-54,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,48,United-States,<=50K
25-34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,40,United-States,<=50K
25-34,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,Black,Female,None,None,40,United-States,<=50K
45-54,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,None,None,50,United-States,>50K
35-44,Local-gov,HS-grad,9,Never-married,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,None,None,40,United-States,<=50K
